Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,rho,T,mu,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.0,0.7671179,0.0,0.0,0.0,0.2328821,0.0,0.0,0.0,0.0,0.02482334,0.83462700519138,293.5,1.529486537466406e-05,0.0,0.0,1.529487e-05,0.0,0.0
0.01510121,0.7658308,0.0001607699,2.553971e-12,0.003432767,0.2286606,3.30936e-34,1.277068e-11,0.001843785,1.175262e-05,0.02787285,0.9623407205814847,336.4456,1.9489372390252257e-05,0.003432767,9.990809646118445e-08,1.948937e-05,1.178389e-05,3.429611993844869e-10
0.02995414,0.7645648,0.0003188965,1.461497e-11,0.006809095,0.2245084,3.4856469999999997e-34,1.090121e-10,0.003657256,2.33125e-05,0.03075879,1.086982396646181,377.8629,2.390918870786163e-05,0.006809095,1.3057430388832083e-06,2.390919e-05,4.636377e-05,8.890927947089176e-09
0.04428982,0.763343,0.0004715165,4.926551e-11,0.01006784,0.2205009,7.052823e-35,5.073686e-10,0.005407573,3.447165e-05,0.03346798,1.206295754044016,417.0528,2.8422993878893454e-05,0.01006784,7.305862681805357e-06,2.842299e-05,0.0001013614,7.355425755451763e-08
0.05793372,0.7621801,0.0006167716,1.228253e-10,0.01316933,0.2166867,2.387309e-34,1.641088e-09,0.007073429,4.509717e-05,0.03599649,1.31889477672826,453.6275,3.2923253776721144e-05,0.01316933,2.619110046733718e-05,3.292325e-05,0.0001734313,3.4491920846266203e-07
0.07089321,0.7610755,0.0007547404,2.512113e-10,0.01611523,0.2130639,6.413105e-32,4.151195e-09,0.008655724,5.519968e-05,0.03836566,1.424940273628431,487.7097,3.736538232999964e-05,0.01611523,7.090735066839674e-05,3.736538e-05,0.0002597006,1.1426882467221386e-06
0.08328897,0.760019,0.0008867079,4.484022e-10,0.01893298,0.2095986,1.0861139999999999e-30,8.839116e-09,0.0101692,6.488017e-05,0.04061046,1.5255167077640868,519.7079,4.175375841551292e-05,0.01893298,0.00015892756785650867,4.175376e-05,0.0003584577,3.008971868861702e-06
0.09525014,0.7589995,0.001014049,7.270355e-10,0.02165191,0.2062549,1.358851e-29,1.662631e-08,0.01162962,7.424859e-05,0.04276245,1.6217511863920804,550.027,4.6106726796875994e-05,0.02165191,0.00031211169195030826,4.610673e-05,0.0004688052,6.75781448917919e-06
0.106881,0.7580081,0.001137874,1.098492e-09,0.02429573,0.2030035,1.2301460000000001e-28,2.849821e-08,0.01304972,8.339795e-05,0.04484567,1.7145441695725332,578.9856,5.0441889468823926e-05,0.02429573,0.0005564559960524334,5.044189e-05,0.0005902825,1.3519504825927474e-05
0.1182555,0.7570385,0.001258971,1.574166e-09,0.02688122,0.1998238,8.674367e-28,4.547257e-08,0.01443854,9.240008e-05,0.04687684,1.8045326612291284,606.8096,5.477126556025957e-05,0.02688122,0.0009224285544917434,5.477127e-05,0.0007226,2.4796011116643004e-05
0.1294,0.7560885,0.00137762,2.165672e-09,0.02941436,0.1967085,4.990153e-27,6.853865e-08,0.01579931,0.0001012917,0.04886297,1.8919660876430584,633.5985,5.909230656586019e-05,0.02941436,0.0014447174131072005,5.909231e-05,0.0008652046,4.249543137488986e-05
0.1402855,0.7551605,0.001493513,2.883986e-09,0.03188854,0.1936656,2.408057e-26,9.855607e-08,0.01712848,0.0001100665,0.05080043,1.9766603848399635,659.3175,6.338260357008585e-05,0.03188854,0.0021605985169512463,6.33826e-05,0.001016879,6.889833600775484e-05
0.1508458,0.7542602,0.001605946,3.739768e-09,0.03428868,0.1907138,9.934016e-26,1.362135e-07,0.01841799,0.0001186875,0.05267837,2.058156505102067,683.8504,6.760541929073045e-05,0.03428868,0.003108581956924019,6.760542e-05,0.001175714,0.00010658916746951921
0.1610128,0.7533933,0.001714197,4.745478e-09,0.03659931,0.187872,3.561045e-25,1.821238e-07,0.01965952,0.0001271125,0.0544852,2.135996322668731,707.0857,7.172310396150422e-05,0.03659931,0.00432938686652757,7.17231e-05,0.001339509,0.0001584525646480647
0.1707591,0.7525623,0.001817973,5.920648e-09,0.03881416,0.1851479,1.130103e-24,2.371311e-07,0.02084974,0.0001353289,0.05621622,2.2100453633911292,729.0106,7.571485022301568e-05,0.03881416,0.0058727093432319796,7.571485e-05,0.001506539,0.0002279442997846974
0.180109,0.7517649,0.001917535,7.298151e-09,0.04093874,0.1825348,3.243154e-24,3.026996e-07,0.02199161,0.0001433648,0.05787571,2.2805615198574194,749.7272,7.958213271271653e-05,0.04093874,0.0078083803794170206,7.958213e-05,0.00167598,0.0003196651679576545
0.1891007,0.750998,0.00201329,8.926098e-09,0.04298169,0.1800221,8.581169e-24,3.810757e-07,0.0230898,0.0001512597,0.05947026,2.347897891799004,769.3616,8.333377552076963e-05,0.04298169,0.010233350527772227,8.333378e-05,0.001847426,0.00043984673861721495
0.1977626,0.7502591,0.002105544,1.086904e-08,0.04494949,0.1776017,2.126043e-23,4.753793e-07,0.02414779,0.0001590451,0.06100471,2.4123264089916088,788.0126,8.697599445743884e-05,0.04494949,0.01327736494831832,8.697599e-05,0.002020457,0.0005968107597477285
