Z,AR,N2,H,H2,HE,O,OH,H2O,HO2,H2O2,O2,OH*,N,NH,NH2,NH3,NNH,N2H2,N2H3,N2H4,H2NN,NO,N2O,NO2,HNO,HON,HONO,H2NO,HNOH,NH2OH,HNO2,HONO2,NO3,HNO3,CO,CO2,CH4,C2H6,W,ZBilger,chi,lambda,cp,lambdaOverCp,mu,ProdRateCO2,ProdRateH2O,ProdRateCO,ProdRateH2,ProgVar,ProdRateProgVar,ProdRate-NO,ProdRatePos-NO,ProdRateNeg-NO,ProdRateNegOverYNO-NO,TotalEnthalpy,HeatRelease,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.885580e+01,1.000000e-99,0.000000e+00,2.482334e-02,1.009210e+03,2.459681e-05,1.832539e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.000000e-60,0.000000e+00,1.000000e-99,1.000000e-99,1.000000e-99,1.000000e-99,-4.654801e+03,0.000000e+00,2.935000e+02,1.198140e+00,1.000000e-60,0.000000e+00,1.529487e-05,1.000000e-120,0.000000e+00
7.211749e-03,1.000000e-60,7.671544e-01,1.709707e-10,7.173212e-06,1.000000e-60,1.579391e-06,2.747571e-06,3.649646e-03,9.846836e-07,1.921892e-06,2.289633e-01,1.318255e-23,3.657928e-16,1.445538e-17,1.357534e-12,2.005081e-07,6.063487e-18,2.200617e-13,4.422555e-14,1.045268e-12,2.350330e-14,1.544580e-04,4.174960e-06,1.509784e-05,5.767469e-08,1.155731e-12,3.354861e-05,6.619703e-10,1.232362e-10,6.107540e-10,3.800127e-10,5.539847e-06,1.713322e-09,5.172312e-06,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.877957e+01,7.211749e-03,3.133103e+00,2.775249e-02,1.017664e+03,2.727078e-05,2.034189e-05,-0.000000e+00,1.400674e-02,-0.000000e+00,-1.090637e-05,3.656819e-03,1.399583e-02,-1.200313e-01,6.886875e-03,-1.269182e-01,-8.217004e+02,-8.089841e+03,1.299638e+06,3.379663e+02,1.037752e+00,3.649646e-03,1.400674e-02,1.960188e-05,1.331992e-05,5.111964e-05
1.421161e-02,1.000000e-60,7.671898e-01,1.098749e-09,1.413600e-05,1.000000e-60,3.632793e-06,7.798040e-06,7.191630e-03,2.493785e-06,3.707947e-06,2.251591e-01,4.730625e-22,2.796691e-15,1.461975e-15,1.864167e-11,3.949982e-07,1.832830e-16,4.315304e-13,7.813688e-14,2.098463e-12,4.729726e-14,3.080502e-04,8.227252e-06,2.898659e-05,1.204401e-07,2.930636e-12,6.212623e-05,1.517461e-09,2.371914e-10,1.243030e-09,8.298095e-10,1.027740e-05,4.331958e-09,9.495370e-06,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.870585e+01,1.421161e-02,1.023774e+01,3.044977e-02,1.026431e+03,2.966566e-05,2.215500e-05,-0.000000e+00,5.944447e-02,-0.000000e+00,-1.012962e-04,7.205766e-03,5.934317e-02,-3.912484e-01,2.400325e-02,-4.152517e-01,-1.348000e+03,-1.142450e+04,4.562453e+06,3.805748e+02,9.192061e-01,7.191630e-03,5.944447e-02,2.410232e-05,5.171954e-05,4.275026e-04
2.085461e-02,1.000000e-60,7.672234e-01,3.807212e-09,2.074480e-05,1.000000e-60,6.172444e-06,1.518089e-05,1.055247e-02,4.586192e-06,5.305062e-06,2.215482e-01,5.380749e-21,1.304548e-14,5.579846e-14,1.403369e-10,5.793542e-07,2.183664e-15,6.319352e-13,1.096212e-13,3.130098e-12,7.070978e-14,4.575803e-04,1.207296e-05,4.125498e-05,1.874322e-07,5.569230e-12,8.532515e-05,2.561078e-09,3.403023e-10,1.885540e-09,1.380539e-09,1.408364e-05,7.544737e-09,1.286540e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.863610e+01,2.085461e-02,1.977145e+01,3.290987e-02,1.035328e+03,3.178690e-05,2.376762e-05,-0.000000e+00,1.378031e-01,-0.000000e+00,-4.212680e-04,1.057322e-02,1.373818e-01,-7.088578e-01,4.943111e-02,-7.582889e-01,-1.657171e+03,-1.458965e+04,9.013960e+06,4.204883e+02,8.299321e-01,1.055247e-02,1.378031e-01,2.863803e-05,1.113546e-04,1.454163e-03
2.711983e-02,1.000000e-60,7.672551e-01,1.008210e-08,2.697983e-05,1.000000e-60,9.202321e-06,2.465478e-05,1.372151e-02,7.274649e-06,6.707101e-06,2.181418e-01,3.510998e-20,4.588019e-14,7.270588e-13,5.709060e-10,7.528291e-07,1.232427e-14,8.221619e-13,1.388329e-13,4.136053e-12,9.335802e-14,6.021004e-04,1.569996e-05,5.177124e-05,2.592661e-07,9.332639e-12,1.037705e-04,3.780323e-09,4.327239e-10,2.531820e-09,2.067202e-09,1.702624e-05,1.102799e-08,1.538362e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.857051e+01,2.711983e-02,3.074039e+01,3.516237e-02,1.044262e+03,3.367199e-05,2.520683e-05,-0.000000e+00,2.486130e-01,-0.000000e+00,-1.183410e-03,1.374849e-02,2.474296e-01,-1.018079e+00,8.455057e-02,-1.102629e+00,-1.831305e+03,-1.757514e+04,1.430619e+07,4.576486e+02,7.607964e-01,1.372151e-02,2.486130e-01,3.313216e-05,1.882798e-04,3.411346e-03
3.304947e-02,1.000000e-60,7.672851e-01,2.285830e-08,3.288456e-05,1.000000e-60,1.274462e-05,3.597238e-05,1.672003e-02,1.054663e-05,7.930216e-06,2.149170e-01,1.636515e-19,1.321969e-13,4.157256e-12,1.496746e-09,9.165042e-07,4.181009e-14,1.004648e-12,1.653400e-13,5.121969e-12,1.150274e-13,7.420273e-04,1.913268e-05,6.054436e-05,3.368607e-07,1.449234e-11,1.183288e-04,5.159369e-09,5.152810e-10,3.176312e-09,2.931295e-09,1.924039e-05,1.453619e-08,1.720956e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.850860e+01,3.304947e-02,4.257139e+01,3.724737e-02,1.053208e+03,3.536564e-05,2.650540e-05,-0.000000e+00,3.922256e-01,-0.000000e+00,-2.629133e-03,1.675291e-02,3.895965e-01,-1.298209e+00,1.334766e-01,-1.431685e+00,-1.929424e+03,-2.040094e+04,2.046938e+07,4.923726e+02,7.056098e-01,1.672003e-02,3.922256e-01,3.756382e-05,2.795594e-04,6.558024e-03
3.870234e-02,1.000000e-60,7.673137e-01,4.653607e-08,3.851942e-05,1.000000e-60,1.684208e-05,4.895681e-05,1.957774e-02,1.436544e-05,8.995693e-06,2.118419e-01,6.059583e-19,3.260422e-13,1.415184e-11,3.019182e-09,1.072050e-06,1.048552e-13,1.182174e-12,1.895719e-13,6.094375e-12,1.355995e-13,8.782529e-04,2.240517e-05,6.763147e-05,4.208804e-07,2.131455e-11,1.297719e-04,6.678400e-09,5.888247e-10,3.813015e-09,4.023477e-09,2.086075e-05,1.789930e-08,1.849159e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.844972e+01,3.870234e-02,5.519766e+01,3.920165e-02,1.062172e+03,3.690707e-05,2.769219e-05,-0.000000e+00,5.701382e-01,-0.000000e+00,-5.007391e-03,1.961626e-02,5.651308e-01,-1.541560e+00,2.025092e-01,-1.744069e+00,-1.985839e+03,-2.309496e+04,2.772084e+07,5.250605e+02,6.603150e-01,1.957774e-02,5.701382e-01,4.193785e-05,3.832879e-04,1.116202e-02
4.416025e-02,1.000000e-60,7.673413e-01,8.729906e-08,4.396826e-05,1.000000e-60,2.157667e-05,6.356714e-05,2.233594e-02,1.868883e-05,9.927668e-06,2.088720e-01,1.899364e-18,7.134086e-13,3.540471e-11,5.202716e-09,1.221835e-06,2.198731e-13,1.358244e-12,2.127084e-13,7.062204e-12,1.551216e-13,1.012345e-03,2.556475e-05,7.313152e-05,5.120237e-07,3.007362e-11,1.387515e-04,8.321282e-09,6.543569e-10,4.439017e-09,5.412760e-09,2.200673e-05,2.101531e-08,1.935396e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.839299e+01,4.416025e-02,6.840414e+01,4.106373e-02,1.071211e+03,3.833393e-05,2.879518e-05,-0.000000e+00,7.855119e-01,-0.000000e+00,-8.585035e-03,2.237991e-02,7.769269e-01,-1.743838e+00,2.995839e-01,-2.043422e+00,-2.018504e+03,-2.569610e+04,3.635930e+07,5.562265e+02,6.220739e-01,2.233594e-02,7.855119e-01,4.628900e-05,4.988942e-04,1.754515e-02
4.949082e-02,1.000000e-60,7.673683e-01,1.533880e-07,4.930158e-05,1.000000e-60,2.705738e-05,7.983654e-05,2.502873e-02,2.345786e-05,1.074413e-05,2.059706e-01,5.246466e-18,1.426789e-12,7.332870e-11,8.107519e-09,1.367863e-06,4.128671e-13,1.536091e-12,2.360266e-13,8.031393e-12,1.736570e-13,1.145665e-03,2.865058e-05,7.711875e-05,6.107509e-07,4.102399e-11,1.457288e-04,1.006905e-08,7.125325e-10,5.051364e-09,7.190749e-09,2.276694e-05,2.381124e-08,1.988674e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.833770e+01,4.949082e-02,8.211500e+01,4.286315e-02,1.080380e+03,3.967416e-05,2.983517e-05,-0.000000e+00,1.042458e+00,-0.000000e+00,-1.365059e-02,2.507803e-02,1.028807e+00,-1.899799e+00,4.331725e-01,-2.332972e+00,-2.036347e+03,-2.823655e+04,4.669237e+07,5.862828e+02,5.890336e-01,2.502873e-02,1.042458e+00,5.065105e-05,6.264373e-04,2.609140e-02
5.473084e-02,1.000000e-60,7.673948e-01,2.550140e-07,5.455994e-05,1.000000e-60,3.339888e-05,9.778630e-05,2.767459e-02,2.857712e-05,1.145543e-05,2.031177e-01,1.308980e-17,2.663004e-12,1.341246e-10,1.178792e-08,1.511313e-06,7.211161e-13,1.718173e-12,2.606048e-13,9.001761e-12,1.912064e-13,1.278896e-03,3.168390e-05,7.964518e-05,7.169487e-07,5.432978e-11,1.510108e-04,1.189185e-08,7.635690e-10,5.644953e-09,9.471727e-09,2.320555e-05,2.622303e-08,2.015451e-05,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.828345e+01,5.473084e-02,9.630464e+01,4.461652e-02,1.089690e+03,4.094423e-05,3.082425e-05,-0.000000e+00,1.344744e+00,-0.000000e+00,-2.049394e-02,2.772915e-02,1.324250e+00,-2.002995e+00,6.104999e-01,-2.613495e+00,-2.043555e+03,-3.073380e+04,5.897184e+07,6.154520e+02,5.600422e-01,2.767459e-02,1.344744e+00,5.503916e-05,7.658829e-04,3.721524e-02
