Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.000000e+00,7.671179e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.328821e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.482334e-02,1.832539e-05,2.935000e+02,1.198140e+00,0.000000e+00,0.000000e+00,1.529487e-05,0.000000e+00,0.000000e+00
1.255809e-02,7.658263e-01,1.412462e-04,4.005877e-15,2.331179e-03,2.298434e-01,3.681471e-35,1.939627e-14,1.821151e-03,3.920125e-06,2.698387e-02,1.966568e-05,3.232076e+02,1.082820e+00,2.331179e-03,1.037993e-10,1.816154e-05,5.434396e-06,2.419747e-13
2.490408e-02,7.645566e-01,2.801068e-04,2.595726e-14,4.622984e-03,2.268560e-01,0.000000e+00,1.777853e-13,3.611542e-03,7.773957e-06,2.905163e-02,2.090422e-05,3.519687e+02,9.896922e-01,4.622984e-03,1.392822e-09,2.112194e-05,2.137198e-05,6.438994e-12
3.681286e-02,7.633318e-01,4.140499e-04,1.118570e-13,6.833630e-03,2.239744e-01,2.687312e-34,1.025493e-12,5.338531e-03,1.149115e-05,3.100466e-02,2.203447e-05,3.792894e+02,9.142840e-01,6.833630e-03,9.197693e-09,2.410025e-05,4.669850e-05,6.285363e-11
4.818049e-02,7.621627e-01,5.419065e-04,3.572962e-13,8.943822e-03,2.212237e-01,3.524761e-35,4.199337e-12,6.987044e-03,1.503915e-05,3.283888e-02,2.306142e-05,4.049793e+02,8.526356e-01,8.943822e-03,3.963900e-08,2.704722e-05,7.999195e-05,3.545242e-10
5.904215e-02,7.610457e-01,6.640723e-04,9.154659e-13,1.096009e-02,2.185954e-01,0.000000e+00,1.333521e-11,8.562182e-03,1.842887e-05,3.456966e-02,2.400028e-05,4.291691e+02,8.013133e-01,1.096009e-02,1.277202e-07,2.995118e-05,1.201236e-04,1.399825e-09
6.946905e-02,7.599733e-01,7.813480e-04,1.988810e-12,1.289565e-02,2.160724e-01,2.934868e-34,3.495763e-11,1.007427e-02,2.168252e-05,3.621513e-02,2.486630e-05,4.520619e+02,7.577828e-01,1.289565e-02,3.337801e-07,3.281455e-05,1.662978e-04,4.304311e-09
7.952482e-02,7.589391e-01,8.944497e-04,3.805834e-12,1.476232e-02,2.136392e-01,9.396283e-35,7.898430e-11,1.153254e-02,2.482005e-05,3.779011e-02,2.567153e-05,4.738349e+02,7.202674e-01,1.476232e-02,7.452355e-07,3.564167e-05,2.179261e-04,1.100140e-08
8.926761e-02,7.579371e-01,1.004031e-03,6.594179e-12,1.657088e-02,2.112817e-01,1.015020e-34,1.586881e-10,1.294542e-02,2.785985e-05,3.930713e-02,2.642578e-05,4.946448e+02,6.874825e-01,1.657088e-02,1.473316e-06,3.843848e-05,2.745941e-04,2.441414e-08
9.875054e-02,7.569618e-01,1.110690e-03,1.055994e-11,1.833120e-02,2.089871e-01,3.734775e-33,2.901969e-10,1.432063e-02,3.081894e-05,4.077695e-02,2.713711e-05,5.146308e+02,6.584774e-01,1.833120e-02,2.646799e-06,4.121191e-05,3.360329e-04,4.851900e-08
1.080202e-01,7.560085e-01,1.214950e-03,1.587743e-11,2.005193e-02,2.067441e-01,8.161565e-34,4.917097e-10,1.566490e-02,3.371256e-05,4.220861e-02,2.781208e-05,5.339117e+02,6.325401e-01,2.005193e-02,4.405221e-06,4.396888e-05,4.020799e-04,8.833318e-08
1.171131e-01,7.550733e-01,1.317222e-03,2.269281e-11,2.173984e-02,2.045438e-01,2.010801e-32,7.827378e-10,1.698356e-02,3.655313e-05,4.360914e-02,2.845578e-05,5.525807e+02,6.091379e-01,2.173984e-02,6.894448e-06,4.671484e-05,4.726206e-04,1.498842e-07
1.260512e-01,7.541541e-01,1.417753e-03,3.113793e-11,2.339899e-02,2.023811e-01,1.123744e-31,1.183501e-09,1.827975e-02,3.934884e-05,4.498294e-02,2.907171e-05,5.706971e+02,5.878802e-01,2.339899e-02,1.026554e-05,4.945176e-05,5.475127e-04,2.402033e-07
1.348403e-01,7.532501e-01,1.516608e-03,4.135802e-11,2.503047e-02,2.002544e-01,3.954843e-31,1.714912e-09,1.955436e-02,4.210330e-05,4.633173e-02,2.966197e-05,5.882863e+02,5.684824e-01,2.503047e-02,1.467999e-05,5.217746e-05,6.265244e-04,3.674470e-07
1.434752e-01,7.523620e-01,1.613729e-03,5.354718e-11,2.663331e-02,1.981651e-01,1.539038e-30,2.399304e-09,2.080661e-02,4.481704e-05,4.765534e-02,3.022771e-05,6.053508e+02,5.507298e-01,2.663331e-02,2.032184e-05,5.488664e-05,7.093332e-04,5.412379e-07
1.519473e-01,7.514907e-01,1.709021e-03,6.799726e-11,2.820589e-02,1.961151e-01,5.444362e-30,3.262537e-09,2.203527e-02,4.749001e-05,4.895292e-02,3.076976e-05,6.218870e+02,5.344461e-01,2.820589e-02,2.742106e-05,5.757318e-05,7.955722e-04,7.734354e-07
1.602525e-01,7.506365e-01,1.802436e-03,8.515834e-11,2.974747e-02,1.941056e-01,1.717060e-29,4.337695e-09,2.323974e-02,5.012399e-05,5.022422e-02,3.128915e-05,6.379006e+02,5.194721e-01,2.974747e-02,3.628947e-05,6.023259e-05,8.849120e-04,1.079520e-06
