Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
0.0,0.7671179,0.0,0.0,0.0,0.2328821,0.0,0.0,0.0,0.0,0.02482334,1.832539e-05,293.5,1.19814,0.0,0.0,1.529487e-05,0.0,0.0
0.007023942,0.7672363,4.229321e-10,1.0415100000000001e-18,0.003627684,0.2291212,1.806271e-37,8.250497e-28,1.59711e-16,1.339816e-05,0.0277381,2.033898e-05,337.889,1.038087,0.003627684,5.834537000000001e-17,1.959275e-05,1.316009e-05,2.116586e-19
0.01385262,0.7673513,8.341068e-10,1.125986e-16,0.007154518,0.2254648,0.0,1.835942e-26,3.149821e-16,2.642387e-05,0.03042727,2.215459e-05,380.5418,0.9194555,0.007154518,7.219708e-15,2.409534e-05,5.118713e-05,5.1653530000000004e-17
0.02029172,0.7674599,1.221824e-09,4.477675e-15,0.01048015,0.2220171,0.0,1.849035e-25,4.61395e-16,3.870646e-05,0.03286553,2.376135e-05,420.2937,0.8305568,0.01048015,3.042686e-13,2.860894e-05,0.0001098335,3.188781e-15
0.02627085,0.7675606,1.581845e-09,8.587312e-14,0.01356821,0.2188156,3.991431e-37,1.183984e-24,5.973491e-16,5.011168e-05,0.03506545,2.517592e-05,456.7872,0.7625561,0.01356821,5.978499e-12,3.301517e-05,0.0001840963,8.111753e-14
0.03184004,0.7676545,1.917182e-09,9.401892e-13,0.01644455,0.2158336,1.49683e-38,6.0475059999999996e-24,7.239818e-16,6.073493e-05,0.03707172,2.643517e-05,490.4059,0.7088584,0.01644455,6.568605e-11,3.72926e-05,0.0002704232,1.080178e-12
0.03706389,0.7677426,2.231725e-09,6.693457e-12,0.01914254,0.2130365,0.0,2.8112200000000005e-23,8.427622e-16,7.069946e-05,0.0389242,2.757085e-05,521.6057,0.6652087,0.01914254,4.639019e-10,4.144692e-05,0.0003664368,8.880261e-12
0.0419892,0.7678256,2.528293e-09,3.419966e-11,0.02168633,0.2103993,5.835475e-37,1.209265e-22,9.547545e-16,8.009456e-05,0.04065009,2.860513e-05,550.7207,0.6289294,0.02168633,2.336977e-09,4.548226e-05,0.0004702969,5.068045e-11
0.04665441,0.7679042,2.8092e-09,1.349504e-10,0.02409579,0.2079014,3.839295e-35,4.6495930000000005e-22,1.060833e-15,8.899362e-05,0.04226982,2.95548e-05,578.0239,0.5982218,0.02409579,9.06342e-09,4.940442e-05,0.0005806071,2.183903e-10
0.05109512,0.767979,3.076591e-09,4.35101e-10,0.0263893,0.2055236,1.974902e-34,1.566684e-21,1.16181e-15,9.746474e-05,0.04380042,3.043365e-05,603.7629,0.571811,0.0263893,2.86757e-08,5.322327e-05,0.0006963952,7.567317e-10
0.05534699,0.7680507,3.332617e-09,1.196898e-09,0.02858528,0.203247,2.031627e-33,4.640954e-21,1.258499e-15,0.0001055763,0.04525732,3.125367e-05,628.1766,0.5487547,0.02858528,7.73499e-08,5.695381e-05,0.0008171182,2.211069e-09
0.05944719,0.7681198,3.579529e-09,2.907733e-09,0.03070293,0.2010516,1.4924660000000002e-32,1.227814e-20,1.351757e-15,0.0001133998,0.04665536,3.202572e-05,651.5048,0.5283333,0.03070293,1.841834e-07,6.061651e-05,0.0009426699,5.65497e-09
0.06343645,0.768187,3.819806e-09,6.408101e-09,0.03276328,0.1989156,9.189979e-32,2.955037e-20,1.442533e-15,0.0001210141,0.04800978,3.27602e-05,673.9991,0.5099762,0.03276328,3.976709e-07,6.423868e-05,0.001073433,1.3029e-08
0.06735657,0.7682531,4.056021e-09,1.307415e-08,0.03478792,0.1968166,4.959827000000001e-31,6.578021e-20,1.531824e-15,0.0001285009,0.04933562,3.346674e-05,695.9089,0.4932329,0.03478792,7.943015e-07,6.78518e-05,0.001210199,2.76321e-08
